column_name,code_value,code_label,code_description,display_order,is_active,parent_code,state_transition
BARCODE_TYPE,141,Code One,Code One,141,Y,,
BARCODE_TYPE,142,Grid Matrix,Grid Matrix,142,Y,,
BARCODE_TYPE,16,GS1-128 (UCC.EAN-128),GS1-128 (UCC.EAN-128),16,Y,,
BARCODE_TYPE,18,Codabar,Codabar,18,Y,,
BARCODE_TYPE,2,Standard Code 2 of 5,Standard Code 2 of 5,2,Y,,
BARCODE_TYPE,20,Code 128 (automatic subset switching),Code 128 (automatic subset switching),20,Y,,
BARCODE_TYPE,21,Deutshe Post Leitcode,Deutshe Post Leitcode,21,Y,,
BARCODE_TYPE,22,Deutshe Post Identcode,Deutshe Post Identcode,22,Y,,
BARCODE_TYPE,23,Code 16K,Code 16K,23,Y,,
BARCODE_TYPE,24,Code 49,Code 49,24,Y,,
BARCODE_TYPE,25,Code 93,Code 93,25,Y,,
BARCODE_TYPE,28,Flattermarken,Flattermarken,28,Y,,
BARCODE_TYPE,29,GS1 DataBar-14,GS1 DataBar-14,29,Y,,
BARCODE_TYPE,3,Interleaved 2 of 5,Interleaved 2 of 5,3,Y,,
BARCODE_TYPE,30,GS1 DataBar Limited,GS1 DataBar Limited,30,Y,,
BARCODE_TYPE,31,GS1 DataBar Extended,GS1 DataBar Extended,31,Y,,
BARCODE_TYPE,32,Telepen Alpha,Telepen Alpha,32,Y,,
BARCODE_TYPE,34,UPC A,UPC A,34,Y,,
BARCODE_TYPE,37,UPC E,UPC E,37,Y,,
BARCODE_TYPE,4,Code 2 of 5 IATA,Code 2 of 5 IATA,4,Y,,
BARCODE_TYPE,40,PostNet,PostNet,40,Y,,
BARCODE_TYPE,47,MSI Plessey,MSI Plessey,47,Y,,
BARCODE_TYPE,49,FIM,FIM,49,Y,,
BARCODE_TYPE,50,LOGMARS,LOGMARS,50,Y,,
BARCODE_TYPE,51,Pharmacode One-Track,Pharmacode One-Track,51,Y,,
BARCODE_TYPE,52,PZN,PZN,52,Y,,
BARCODE_TYPE,53,Pharmacode Two-Track,Pharmacode Two-Track,53,Y,,
BARCODE_TYPE,55,PDF417,PDF417,55,Y,,
BARCODE_TYPE,56,PDF417 Truncated,PDF417 Truncated,56,Y,,
BARCODE_TYPE,57,Maxicode,Maxicode,57,Y,,
BARCODE_TYPE,58,QR Code,QR Code,58,Y,,
BARCODE_TYPE,6,Code 2 of 5 Data Logic,Code 2 of 5 Data Logic,6,Y,,
BARCODE_TYPE,60,Code 128 (Subset B),Code 128 (Subset B),60,Y,,
BARCODE_TYPE,63,Australia Post Standard Customer,Australia Post Standard Customer,63,Y,,
BARCODE_TYPE,66,Australia Post Reply Paid,Australia Post Reply Paid,66,Y,,
BARCODE_TYPE,67,Australia Post Routing,Australia Post Routing,67,Y,,
BARCODE_TYPE,68,Australia Post Redirection,Australia Post Redirection,68,Y,,
BARCODE_TYPE,69,ISBN (EAN-13 with verification stage),ISBN (EAN-13 with verification stage),69,Y,,
BARCODE_TYPE,7,Code 2 of 5 Industrial,Code 2 of 5 Industrial,7,Y,,
BARCODE_TYPE,70,Royal Mail 4 State (RM4SCC),Royal Mail 4 State (RM4SCC),70,Y,,
BARCODE_TYPE,71,Data Matrix,Data Matrix,71,Y,,
BARCODE_TYPE,72,EAN-14,EAN-14,72,Y,,
BARCODE_TYPE,75,NVE-18,NVE-18,75,Y,,
BARCODE_TYPE,76,Japanese Postal Code,Japanese Postal Code,76,Y,,
BARCODE_TYPE,77,Korea Post,Korea Post,77,Y,,
BARCODE_TYPE,79,GS1 DataBar-14 Stacked,GS1 DataBar-14 Stacked,79,Y,,
BARCODE_TYPE,8,Code 3 of 9 (Code 39),Code 3 of 9 (Code 39),8,Y,,
BARCODE_TYPE,80,GS1 DataBar-14 Stacked Omnidirectional,GS1 DataBar-14 Stacked Omnidirectional,80,Y,,
BARCODE_TYPE,81,GS1 DataBar Expanded Stacked,GS1 DataBar Expanded Stacked,81,Y,,
BARCODE_TYPE,82,PLANET,PLANET,82,Y,,
BARCODE_TYPE,84,MicroPDF417,MicroPDF417,84,Y,,
BARCODE_TYPE,85,USPS OneCode,USPS OneCode,85,Y,,
BARCODE_TYPE,86,Plessey Code,Plessey Code,86,Y,,
BARCODE_TYPE,87,Telepen Numeric,Telepen Numeric,87,Y,,
BARCODE_TYPE,89,ITF-14,ITF-14,89,Y,,
BARCODE_TYPE,9,Extended Code 3 of 9 (Code 39+),Extended Code 3 of 9 (Code 39+),9,Y,,
BARCODE_TYPE,90,Dutch Post KIX Code,Dutch Post KIX Code,90,Y,,
BARCODE_TYPE,92,Aztec Code,Aztec Code,92,Y,,
BARCODE_TYPE,93,DAFT Code,DAFT Code,93,Y,,
BARCODE_TYPE,97,Micro QR Code,Micro QR Code,97,Y,,
BARCODE_TYPE,98,HIBC Code 128,HIBC Code 128,98,Y,,
BARCODE_TYPE,99,HIBC Code 39,HIBC Code 39,99,Y,,
BASIS_CURRENCY,CNY,인민페,인민페,1067,Y,,
BASIS_CURRENCY,HKD,홍콩달러,홍콩달러,1072,Y,,
BASIS_CURRENCY,JPY,엔화,엔화,1074,Y,,
BASIS_CURRENCY,KRW,원화,원화,1075,Y,,
BASIS_CURRENCY,USD,달러,달러,1085,Y,,
BASIS_CURRENCY,VND,동화,동화,1086,Y,,
BCR_CODE,R,RATING,RATING,1082,Y,,
BCR_CODE,S,SET,SET,1083,Y,,
BCR_CODE,T,TEMPORARY,TEMPORARY,1084,Y,,
BILL_COLLECTION_STATUS,C,취소,취소,1067,Y,,
BILL_COLLECTION_STATUS,N,정상,정상,1078,Y,,Y
BILL_COLLECTION_TYPE,C,완료,완료,1067,Y,,
BILL_COLLECTION_TYPE,P,처리중,처리중,1080,Y,,
BILL_COLLECTION_TYPE,W,WAIT,WAIT,1087,Y,,
BOOK_TYPE,B,장부,장부,1066,Y,,
BOOK_TYPE,C,거래처,거래처,1067,Y,,
BOX_LABEL_TYPE,3IN1_BOE,3IN1_BOE,3IN1_BOE,1051,Y,,
BOX_LABEL_TYPE,3IN1_VD,3IN1_VD,3IN1_VD,1051,Y,,
BOX_LABEL_TYPE,HYBRID_BOE,HYBRID_BOE,HYBRID_BOE,1072,Y,,
BOX_LABEL_TYPE,HYBRID_VD,HYBRID_VD,HYBRID_VD,1072,Y,,
BOX_LABEL_TYPE,SMPS_CE,SMPS_CE,SMPS_CE,1083,Y,,
BOX_LABEL_TYPE,SMPS_HYBRID,SMPS_HYBRID,SMPS_HYBRID,1083,Y,,
BOX_LABEL_TYPE,SMPS_JDM,SMPS_JDM,SMPS_JDM,1083,Y,,
BOX_LABEL_TYPE,SMPS_LG,SMPS_LG,SMPS_LG,1083,Y,,
BOX_LABEL_TYPE,SMPS_MEDISON,SMPS_MEDISON,SMPS_MEDISON,1083,Y,,
BOX_LABEL_TYPE,SMPS_VD_NEW,SMPS_VD_NEW,SMPS_VD_NEW,1083,Y,,
BOX_LABEL_TYPE,SMPS_VD_OLD,SMPS_VD_OLD,SMPS_VD_OLD,1083,Y,,
BRING_IN_YN,N,반입안함,반입안함,1078,Y,,
BRING_IN_YN,Y,반입함,반입함,1089,Y,,
BUFFER_TYPE,M,센서,센서,1077,Y,,
BUFFER_TYPE,N,없음,없음,1078,Y,,
