column_name,korean_name,description,code_values
ADAPTER_BOARD,아답터보드,아답터보드,
ADD,추가,추가,
ADDRESS,주소,주소,
ADDRESS_ENG,주소(영),주소(영),
ADDTION_ISSUE,추가출고,추가출고,
ADD_AMT,추가금액,추가금액 (금액),
ADD_CREATE,추가생성,추가생성,
ADD_DETAIL,상세이력추가,상세이력추가,
ADD_GRAPH,그래프추가,그래프추가,
ADD_INSPECT_RESULT,검사결과추가,검사결과추가,
ADD_ITEM_CODE,품목추가,품목추가 (코드 값),
ADD_NEW_MODEL,신규모델추가,신규모델추가,
ADD_NEW_WORD,신규용어추가,신규용어추가,
ADD_PLAN,계획추가,계획추가,
ADD_PRIVILEGE,권한추가,권한추가,
ADD_WINDOW,윈도우추가,윈도우추가,
ADJUST,조정,조정,
ADJUST_CENTER,가운데맞춤,가운데맞춤,
ADJUST_DATE,교정일자,교정일자 (날짜),
ADJUST_LEFT,왼쪽맞춤,왼쪽맞춤,
ADJUST_LIST,조정리스트,조정리스트,
ADJUST_QTY,조정수량,조정수량 (수량),
ADJUST_RIGHT,오른쪽맞춤,오른쪽맞춤,
ADJUST_SCAN,교정스캔,교정스캔,
ADJUST_SEQUENCE,교정항번,교정항번,
AE_EV_BUSBAR,AE-EV BUSBAR,AE-EV BUSBAR,
AE_EV_BUSBAR_RESULT_QUERY,AE-EV BUSBAR 검사결과조회,AE-EV BUSBAR 검사결과조회,
AFTER,변경후,변경후,
AFTER_CUSTOMER,변경후고객,변경후고객,
AFTER_FIRST_LINE_INPUT_TIME,라인투입 후 시간,라인투입 후 시간,
AFTER_ISSUE_TIME,상온방치 후 시간,상온방치 후 시간,
AFTER_ITEM_CODE,변경후품목코드,변경후품목코드 (코드 값),
AFTER_LINE_CODE,변경후라인코드,변경후라인코드 (코드 값),
AFTER_ORDER_CHARGE,변경후주문담당자,변경후주문담당자,
AFTER_ROOM_TEMP_TIME,상온방치 후 시간,상온방치 후 시간,
AFTER_SUPPLIER,변경후공급상,변경후공급상,
AFTER_VISCOSITY_TIME,점도측정 후 시간,점도측정 후 시간,
AFTER_WORKSTAGE_CODE,변경후공정코드,변경후공정코드 (코드 값),
AGENT_MESSAGE,에이젼트메세지,에이젼트메세지,
AGENT_MESSAGE_FILTER,에이젼트메세지필터,에이젼트메세지필터,
AGENT_MESSAGE_HISTORY_LIST,에이젼트메세지이력리스트,에이젼트메세지이력리스트,
AGENT_MESSAGE_LIST,에이젼트메세지리스트,에이젼트메세지리스트,
AG_UNIT_WEIGHT,단위중량,단위중량,
AIMCN_SAMPLE_INPUT_HIST_MODEL_NAME,모델,모델,
AIR,Air,Air,
AIR_DENSITY,산소농도,산소농도,
AIR_N2,Air N2,Air N2,
AIR_N2_TYPE,에어/질소구분,에어/질소구분,
AI_LINE,AI Line,AI Line,
ALERT,경보,경보,
ALERT_ACTION_CODE,경고처리코드,경고처리코드 (코드 값),
ALERT_BY,경보발생자,경보발생자,
ALERT_DETAIL,경보상세,경보상세,
ALERT_LIST,경보리스트,경보리스트,
ALERT_MASTER,경보관리,경보관리,
ALERT_MESSAGE,경보메시지,경보메시지,
ALERT_TEXT,경보문자,경보문자,
ALGORITHM,알고리즘,알고리즘,
ALIAS_ADD,별명추가,별명추가,
ALIGNMENT,,,"{""0"": ""왼쪽"", ""1"": ""오른쪽"", ""2"": ""가운데"", ""3"": ""맞춤""}"
ALIGN_BOTTOM,아래로정렬,아래로정렬,
ALIGN_LEFT,왼쪽정렬,왼쪽정렬,
ALIGN_LINE_CENTER,라인가운데정렬,라인가운데정렬,
ALIGN_RIGHT,오른쪽정렬,오른쪽정렬,
ALIGN_TOP,위로정렬,위로정렬,
ALL,전부,전부,
ALLOW_LAST_MONTH_RECEIPT_CANCEL,전월입고취소,전월입고취소,
ALLOW_MIX,혼입허용,혼입허용,
ALLOW_MIX_MODEL,모델혼입허용,모델혼입허용,
ALLOW_OVER_PLAN,계획초과인정,계획초과인정,
ALLOW_WS_MINUS_INV,공정음수재고인정,공정음수재고인정,
ALL_CANCEL,전부취소,전부취소,
ALL_COMPLETE,전부완료,전부완료,
ALL_CONFIRM,승인,승인,
ALL_DELETE,전부삭제,전부삭제,
ALL_PASS,전부합격,전부합격,
ALL_RETURN,전부불합격,전부불합격,
ALL_REUSE,전부재사용,전부재사용,
ALL_SELECT,전부선택,전부선택,
ALL_SELECT_CANCEL,전부취소,전부취소,
ALL_SELECT_OPTION,선택옵션,선택옵션,
ALL_TRACKING_FOR_THE_PRODUCTION,롯트추적조회(ALL),롯트추적조회(ALL),
ALL_UNDO,전부복구,전부복구,
