column_name,korean_name,description,business_rule,sample_values,unit,is_code_column,aggregation_functions,is_sensitive
ACTUAL_MANAGEMENT_DAY,일별 현황,일별 현황,,,,N,,N
ACTUAL_MANAGEMENT_MONTH,월별 현황,월별 현황,,,,N,,N
ACTUAL_MENU,실적관리메뉴,실적관리메뉴,,,,N,,N
ACTUAL_MOVING_DATE,실적이동일자,실적이동일자 (날짜),,,,N,"MIN,MAX",N
ACTUAL_MOVING_INVOICE,전표번호,전표번호,,,,N,,N
ACTUAL_MOVING_QTY,실적이동수량,실적이동수량 (수량),,,EA,N,"SUM,AVG",N
ACTUAL_MOVING_SEQUENCE,실적이동순서,실적이동순서,,,,N,,N
ACTUAL_MOVING_STATUS,실적이동상태,실적이동상태,,,,Y,,N
ACTUAL_OUTPUT,실적수출,실적수출,,,,N,,N
ACTUAL_OUTPUT_INVENTORY,실적수출량,실적수출량,,,,N,,N
ACTUAL_OUTPUT_INVENTORY_QUERY,실적수출량조회,실적수출량조회,,,,N,,N
ACTUAL_OUTPUT_INVNETORY_MASTER,설적수출량관리,설적수출량관리,,,,N,,N
ACTUAL_PLC_ADDRESS,PLC 주소,PLC 주소,,,,N,,N
ACTUAL_PRODUCTION_TIME,실제생산시간(분),실제생산시간(분),,,,N,"MIN,MAX",N
ACTUAL_QTY,실적수량,실적수량 (수량),,,EA,N,"SUM,AVG",N
ACTUAL_QTY_SUM,실적수량합계,실적수량합계 (수량),,,EA,N,"SUM,AVG",N
ACTUAL_RATE,달성율,달성율,,,%,N,AVG,N
ACTUAL_RATE_S,달성율,달성율,,,%,N,AVG,N
ACTUAL_REMAIN,잔량,잔량,,,,N,,N
ACTUAL_REPORT,실적리포트,실적리포트,,,,N,,N
ACTUAL_RESET,실적재설정,실적재설정,,,,N,,N
ACTUAL_SERIAL_COMM_OPTION,통신옵션,통신옵션,,,,N,,N
ACTUAL_START_DATE,실적시작일자,실적시작일자 (날짜),,,,N,"MIN,MAX",N
ACTUAL_START_TIME,실적시작시간,실적시작시간,,,,N,"MIN,MAX",N
ACTUAL_STATUS,실적상태,실적상태,,,,Y,,N
ACTUAL_SUM,실적누계,실적누계,,,,N,"SUM,AVG",N
ACTUAL_TIME,시간,시간,,,,N,"MIN,MAX",N
ACTUAL_WAIT_QTY,실적대기수량,실적대기수량 (수량),,,EA,N,"SUM,AVG",N
AD17,기타수당,기타수당,,,,N,,N
ADAPTER_BOARD,아답터보드,아답터보드,,,,N,,N
ADD,추가,추가,,,,N,,N
ADDRESS,주소,주소,,,,N,,N
ADDRESS_ENG,주소(영),주소(영),,,,N,,N
ADDTION_ISSUE,추가출고,추가출고,,,,N,,N
ADD_AMT,추가금액,추가금액 (금액),,,KRW,N,"SUM,AVG",N
ADD_CREATE,추가생성,추가생성,,,,N,,N
ADD_DETAIL,상세이력추가,상세이력추가,,,,N,,N
ADD_GRAPH,그래프추가,그래프추가,,,,N,,N
ADD_INSPECT_RESULT,검사결과추가,검사결과추가,,,,N,,N
ADD_ITEM_CODE,품목추가,품목추가 (코드 값),,,,Y,,N
ADD_NEW_MODEL,신규모델추가,신규모델추가,,,,N,,N
ADD_NEW_WORD,신규용어추가,신규용어추가,,,,N,,N
ADD_PLAN,계획추가,계획추가,,,,N,,N
ADD_PRIVILEGE,권한추가,권한추가,,,,N,,N
ADD_WINDOW,윈도우추가,윈도우추가,,,,N,,N
ADJUST,조정,조정,,,,N,,N
ADJUST_CENTER,가운데맞춤,가운데맞춤,,,,N,,N
ADJUST_DATE,교정일자,교정일자 (날짜),,,,N,"MIN,MAX",N
ADJUST_LEFT,왼쪽맞춤,왼쪽맞춤,,,,N,,N
ADJUST_LIST,조정리스트,조정리스트,,,,N,,N
ADJUST_QTY,조정수량,조정수량 (수량),,,EA,N,"SUM,AVG",N
ADJUST_RIGHT,오른쪽맞춤,오른쪽맞춤,,,,N,,N
ADJUST_SCAN,교정스캔,교정스캔,,,,N,,N
ADJUST_SEQUENCE,교정항번,교정항번,,,,N,,N
AE_EV_BUSBAR,AE-EV BUSBAR,AE-EV BUSBAR,,,,N,,N
AE_EV_BUSBAR_RESULT_QUERY,AE-EV BUSBAR 검사결과조회,AE-EV BUSBAR 검사결과조회,,,,N,,N
AFTER,변경후,변경후,,,,N,,N
AFTER_CUSTOMER,변경후고객,변경후고객,,,,N,,N
